epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,937.372,1.3807,0.95592,1.26425,0.72325,0.76988,0.772,0.40461,1.22732,22.1316,1.03607,0.002921,0.002921,0.002921
44,959.039,1.42724,0.98793,1.29342,0.80697,0.69043,0.75978,0.42936,1.14873,15.1239,1.01244,0.0028715,0.0028715,0.0028715
45,980.966,1.39674,0.97004,1.27448,0.75014,0.73307,0.74575,0.41245,1.14312,21.5852,0.98286,0.002822,0.002822,0.002822
46,1002.6,1.38865,0.94104,1.26735,0.82899,0.72131,0.78065,0.44285,1.15376,9.47571,0.99742,0.0027725,0.0027725,0.0027725
47,1024.47,1.40018,0.93274,1.27501,0.81418,0.74145,0.77041,0.41985,1.19343,10.3995,1.00328,0.002723,0.002723,0.002723
48,1046.11,1.3619,0.90419,1.23669,0.79911,0.71291,0.77172,0.43752,1.13039,14.8708,0.97185,0.0026735,0.0026735,0.0026735
49,1068.07,1.39123,0.89381,1.25112,0.80395,0.69404,0.77179,0.43714,1.13206,13.1024,0.98167,0.002624,0.002624,0.002624
50,1089.71,1.37565,0.91589,1.25361,0.79823,0.72787,0.76935,0.44226,1.12514,16.0852,0.98654,0.0025745,0.0025745,0.0025745
51,1111.35,1.38079,0.89956,1.24047,0.79743,0.74294,0.78254,0.4171,1.17522,14.5336,1.01053,0.002525,0.002525,0.002525
52,1132.98,1.36899,0.92816,1.25064,0.80784,0.72775,0.78619,0.42243,1.17978,6.08316,0.9993,0.0024755,0.0024755,0.0024755
53,1154.6,1.34794,0.88461,1.24929,0.8227,0.72029,0.77486,0.42239,1.17025,12.0468,1.00375,0.002426,0.002426,0.002426
54,1176.27,1.34798,0.88416,1.23822,0.77634,0.74017,0.75809,0.41555,1.17582,74.6394,1.0066,0.0023765,0.0023765,0.0023765
55,1197.99,1.34134,0.84931,1.23734,0.79061,0.73502,0.77121,0.4294,1.12068,6.29789,0.97753,0.002327,0.002327,0.002327
56,1219.68,1.36627,0.88553,1.25457,0.79588,0.76494,0.79317,0.43554,1.14049,7.94005,0.99367,0.0022775,0.0022775,0.0022775
57,1241.41,1.33304,0.82964,1.23378,0.75145,0.76836,0.7813,0.42794,1.18066,10.7026,1.01156,0.002228,0.002228,0.002228
58,1263.07,1.31752,0.81509,1.22333,0.81939,0.70908,0.77778,0.44385,1.13705,4.67443,0.98185,0.0021785,0.0021785,0.0021785
59,1285.17,1.31252,0.81365,1.21954,0.84343,0.70173,0.7856,0.43107,1.14715,11.4589,0.99401,0.002129,0.002129,0.002129
60,1306.83,1.32353,0.81689,1.23039,0.83604,0.70626,0.79325,0.448,1.13991,16.5831,0.98781,0.0020795,0.0020795,0.0020795
61,1328.76,1.331,0.82484,1.22209,0.8161,0.70419,0.7772,0.44071,1.17452,8.75515,1.00953,0.00203,0.00203,0.00203
62,1350.42,1.33277,0.85157,1.23948,0.82168,0.69552,0.78034,0.42354,1.17751,15.2384,1.00936,0.0019805,0.0019805,0.0019805
63,1372.01,1.31975,0.84267,1.22622,0.79485,0.74185,0.79069,0.44431,1.13267,7.572,0.98458,0.001931,0.001931,0.001931
64,1393.63,1.30332,0.79772,1.20555,0.79536,0.71996,0.77228,0.42209,1.16176,18.0718,0.99906,0.0018815,0.0018815,0.0018815
65,1415.28,1.29954,0.84003,1.22466,0.80935,0.7384,0.79176,0.44846,1.11676,11.8052,0.98356,0.001832,0.001832,0.001832
66,1437.19,1.28952,0.80599,1.21488,0.80593,0.73378,0.77715,0.4442,1.11519,10.2363,0.98367,0.0017825,0.0017825,0.0017825
67,1458.9,1.28161,0.79115,1.19641,0.8252,0.717,0.77514,0.44594,1.09237,10.5642,0.97516,0.001733,0.001733,0.001733
68,1480.56,1.2967,0.79895,1.20678,0.80196,0.75763,0.78544,0.4487,1.09785,14.2036,0.96931,0.0016835,0.0016835,0.0016835
69,1502.5,1.24844,0.75755,1.18621,0.85349,0.71936,0.7956,0.45507,1.11058,9.24698,0.98389,0.001634,0.001634,0.001634
70,1524.4,1.27935,0.77255,1.19347,0.79446,0.73523,0.78503,0.44883,1.13555,10.8121,0.99107,0.0015845,0.0015845,0.0015845
71,1546.11,1.28798,0.80423,1.20092,0.8387,0.73343,0.80173,0.45925,1.10982,9.65461,0.98193,0.001535,0.001535,0.001535
72,1567.94,1.26349,0.77261,1.20781,0.82811,0.72223,0.80065,0.45734,1.13072,9.34232,0.98821,0.0014855,0.0014855,0.0014855
73,1589.59,1.25444,0.76606,1.19092,0.80688,0.74781,0.80679,0.45849,1.11727,4.73045,0.98276,0.001436,0.001436,0.001436
74,1611.22,1.21803,0.73542,1.16924,0.82222,0.73171,0.79475,0.45549,1.10767,10.8043,0.98535,0.0013865,0.0013865,0.0013865
75,1632.87,1.28615,0.78491,1.19691,0.79019,0.76031,0.8038,0.45596,1.11617,7.55504,0.98699,0.001337,0.001337,0.001337
76,1654.49,1.26588,0.74093,1.18733,0.77749,0.7543,0.79111,0.4604,1.11197,7.25547,0.98538,0.0012875,0.0012875,0.0012875
77,1676.1,1.27081,0.76099,1.1996,0.80845,0.74777,0.80806,0.47213,1.0993,11.8141,0.97488,0.001238,0.001238,0.001238
78,1698.26,1.2305,0.71037,1.16811,0.8187,0.75386,0.80798,0.46687,1.12178,9.28905,0.99263,0.0011885,0.0011885,0.0011885
79,1719.93,1.25968,0.75386,1.20492,0.84698,0.74277,0.80645,0.44327,1.16042,7.24951,1.00851,0.001139,0.001139,0.001139
80,1741.77,1.23033,0.74852,1.18799,0.8146,0.76031,0.8063,0.46448,1.11489,4.35405,0.98983,0.0010895,0.0010895,0.0010895
81,1763.42,1.2257,0.71937,1.1775,0.84748,0.74006,0.80857,0.46321,1.12692,4.54293,0.98667,0.00104,0.00104,0.00104
82,1785.09,1.24288,0.74712,1.17542,0.83041,0.76063,0.80239,0.46247,1.1181,5.65008,0.98223,0.0009905,0.0009905,0.0009905
83,1806.75,1.20624,0.71799,1.17933,0.80092,0.77988,0.81526,0.46388,1.10742,7.88446,0.98342,0.000941,0.000941,0.000941
84,1828.4,1.21922,0.72596,1.17061,0.8421,0.72868,0.80295,0.47393,1.0943,8.21103,0.97757,0.0008915,0.0008915,0.0008915
85,1850.54,1.21423,0.71269,1.16545,0.78984,0.77898,0.80529,0.46085,1.1151,6.93875,0.98969,0.000842,0.000842,0.000842
86,1872.23,1.20007,0.70321,1.14693,0.81015,0.74959,0.81205,0.47622,1.10023,5.57975,0.97678,0.0007925,0.0007925,0.0007925
87,1894.13,1.20031,0.68968,1.16672,0.8398,0.73401,0.8203,0.47817,1.10855,4.15795,0.97932,0.000743,0.000743,0.000743
88,1916.02,1.18825,0.68673,1.14444,0.84903,0.74177,0.82252,0.47763,1.1087,6.92044,0.98045,0.0006935,0.0006935,0.0006935
89,1937.67,1.20317,0.6862,1.15537,0.80724,0.74585,0.811,0.47763,1.1094,4.84135,0.98481,0.000644,0.000644,0.000644
90,1959.52,1.19062,0.69599,1.15664,0.79777,0.76382,0.80364,0.47669,1.11557,4.79353,0.99319,0.0005945,0.0005945,0.0005945
91,1982.36,1.10152,0.56213,1.1161,0.80415,0.74072,0.79925,0.46362,1.1113,4.84756,0.99495,0.000545,0.000545,0.000545
92,2003.98,1.09051,0.53607,1.11976,0.83348,0.72977,0.80741,0.46377,1.10415,5.85927,0.9925,0.0004955,0.0004955,0.0004955
93,2025.56,1.08329,0.5553,1.09591,0.81445,0.73796,0.80812,0.46751,1.10878,6.47988,0.98917,0.000446,0.000446,0.000446
94,2047.09,1.06643,0.50156,1.09424,0.79793,0.74339,0.80012,0.46655,1.09733,5.52159,0.98746,0.0003965,0.0003965,0.0003965
95,2068.63,1.05728,0.53374,1.09701,0.83514,0.72764,0.80186,0.47005,1.09944,6.51513,0.98603,0.000347,0.000347,0.000347
96,2090.17,1.06619,0.51517,1.09852,0.82449,0.75295,0.80356,0.48101,1.0762,5.9565,0.97971,0.0002975,0.0002975,0.0002975
97,2111.98,1.05938,0.50562,1.09192,0.85524,0.725,0.80358,0.47022,1.0989,5.92094,0.98717,0.000248,0.000248,0.000248
98,2133.53,1.04226,0.49509,1.07525,0.81535,0.74245,0.80074,0.46937,1.09496,6.1815,0.98668,0.0001985,0.0001985,0.0001985
99,2155.08,1.0381,0.50406,1.08439,0.8091,0.75557,0.80432,0.46986,1.09279,6.39268,0.98415,0.000149,0.000149,0.000149
100,2176.89,1.03384,0.49652,1.05878,0.80905,0.74591,0.80544,0.47289,1.08946,6.05527,0.98327,9.95e-05,9.95e-05,9.95e-05
