epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,19691.8,1.23032,0.85938,1.25963,0.83548,0.78857,0.82388,0.60136,1.07398,0.69604,1.09431,0.002921,0.002921,0.002921
44,20072.3,1.21975,0.85258,1.25601,0.84767,0.79516,0.82864,0.6058,1.06375,0.69058,1.09075,0.0028715,0.0028715,0.0028715
45,20453.1,1.22148,0.85218,1.25507,0.85774,0.79118,0.83083,0.60913,1.05352,0.68285,1.08581,0.002822,0.002822,0.002822
46,20833.5,1.21223,0.8349,1.2469,0.8607,0.78809,0.83149,0.61345,1.0429,0.67604,1.08006,0.0027725,0.0027725,0.0027725
47,21213.9,1.19813,0.82596,1.24003,0.85918,0.79363,0.8348,0.61679,1.03638,0.67156,1.07601,0.002723,0.002723,0.002723
48,21594,1.19893,0.82618,1.24322,0.86194,0.79957,0.83753,0.6201,1.03099,0.66622,1.07289,0.0026735,0.0026735,0.0026735
49,21974.2,1.18437,0.81557,1.23873,0.85674,0.8006,0.83912,0.62384,1.02304,0.65961,1.06892,0.002624,0.002624,0.002624
50,22354.4,1.17653,0.80573,1.2244,0.85927,0.80065,0.84001,0.62664,1.01613,0.65383,1.06546,0.0025745,0.0025745,0.0025745
51,22734.9,1.18034,0.81078,1.22588,0.86439,0.80028,0.84222,0.62939,1.0119,0.64848,1.06313,0.002525,0.002525,0.002525
52,23115.1,1.16422,0.79561,1.22126,0.86301,0.80183,0.84396,0.63201,1.00618,0.64399,1.06056,0.0024755,0.0024755,0.0024755
53,23495,1.16128,0.79513,1.22704,0.85908,0.80757,0.84606,0.63401,1.00145,0.6394,1.05825,0.002426,0.002426,0.002426
54,23875.3,1.1483,0.77968,1.21282,0.85961,0.80893,0.84663,0.63551,0.99675,0.63639,1.05584,0.0023765,0.0023765,0.0023765
55,24255.8,1.15307,0.7906,1.20818,0.86894,0.80559,0.84865,0.63761,0.99332,0.63293,1.05372,0.002327,0.002327,0.002327
56,24635.7,1.1417,0.77736,1.20671,0.86853,0.80895,0.84992,0.63962,0.99086,0.6289,1.05251,0.0022775,0.0022775,0.0022775
57,25016.4,1.13046,0.76934,1.20074,0.86649,0.80756,0.85124,0.64083,0.98828,0.62597,1.05102,0.002228,0.002228,0.002228
58,25396.6,1.12961,0.76222,1.20269,0.86231,0.81165,0.85303,0.64186,0.98558,0.62285,1.0493,0.0021785,0.0021785,0.0021785
59,25777.2,1.12143,0.76554,1.19565,0.86501,0.81359,0.85372,0.64348,0.98338,0.62045,1.04786,0.002129,0.002129,0.002129
60,26157.2,1.11902,0.75871,1.18958,0.86084,0.81673,0.85447,0.64373,0.97992,0.61891,1.04604,0.0020795,0.0020795,0.0020795
61,26537.7,1.1135,0.75021,1.18549,0.86098,0.81684,0.85571,0.64555,0.97711,0.61589,1.04481,0.00203,0.00203,0.00203
62,26918,1.10283,0.73776,1.18312,0.86256,0.81675,0.85593,0.64697,0.97367,0.61408,1.04302,0.0019805,0.0019805,0.0019805
63,27298.8,1.09763,0.73366,1.17851,0.8649,0.81767,0.85765,0.64865,0.97054,0.61187,1.04157,0.001931,0.001931,0.001931
64,27678.8,1.09049,0.72976,1.17614,0.86573,0.81796,0.85712,0.64935,0.96734,0.60912,1.04016,0.0018815,0.0018815,0.0018815
65,28059.5,1.08085,0.71998,1.16826,0.86475,0.81935,0.85749,0.65003,0.96413,0.60653,1.03862,0.001832,0.001832,0.001832
66,28440.1,1.07753,0.71945,1.16799,0.86612,0.82032,0.85876,0.65107,0.96092,0.60428,1.03717,0.0017825,0.0017825,0.0017825
67,28820.6,1.06945,0.70603,1.16791,0.87188,0.81961,0.86091,0.65283,0.95822,0.60173,1.03607,0.001733,0.001733,0.001733
